Tªn M·o	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Cù Méc L·nh NguyÖt Qu¸n	0	103	32354	35	40000	0	175	16;16					300095	50	2	3		\image\item\cap\fm1_cap_014a1.spr	\image\item\cap\fm1_cap_014a0.spr	TÈm chÊt kŞch ®éc, c¸c s¸t thñ ­a dïng	ĞÔ¸ĞÅ®Í·²¿024	§· khãa		5	1	1	27	0					
Cù Méc L·nh NguyÖt Qu¸n	0	103	32355	35	40000	0	175	16;16					300096	50	2	4		\image\item\cap\fm2_cap_014a1.spr	\image\item\cap\fm2_cap_014a0.spr	Lµm tõ san h«, trŞ ®­îc b¸ch ®éc	½¿Ğ¡Å®Í·²¿015	§· khãa		5	1	1	27	0					
NhuÖ Kim L¨ng V©n Qu¸n	0	103	32356	35	40000	0	175	16;16					300097	50	1	1		\image\item\cap\man1_cap_014a1.spr	\image\item\cap\man1_cap_014a0.spr	NhÑ nh­ c¸nh chuån chuån. Mµu ®á khiÕn ®èi ph­¬ng ho¶ng sî	±ê×¼ÄĞÍ·²¿011	§· khãa		5	1	1	26	0					
NhuÖ Kim L¨ng V©n Qu¸n	0	103	32357	35	40000	0	175	16;16					300098	50	1	2		\image\item\cap\man2_cap_014a1.spr	\image\item\cap\man2_cap_014a0.spr	Hót ®­îc yªu ma linh lùc, khiÕn ®èi ph­¬ng võa nh×n thÊy ®· khiÕp sî	¿ıÎàÄĞÍ·²¿017	§· khãa		5	1	1	26	0					
NhuÖ Kim L¨ng V©n Qu¸n	0	103	32358	35	40000	0	175	16;16					300099	50	2	3		\image\item\cap\fm1_cap_014a1.spr	\image\item\cap\fm1_cap_014a0.spr	TÈm chÊt kŞch ®éc, c¸c s¸t thñ ­a dïng	ĞÔ¸ĞÅ®Í·²¿024	§· khãa		5	1	1	26	0					
NhuÖ Kim L¨ng V©n Qu¸n	0	103	32359	35	40000	0	175	16;16					300100	50	2	4		\image\item\cap\fm2_cap_014a1.spr	\image\item\cap\fm2_cap_014a0.spr	Lµm tõ san h«, trŞ ®­îc b¸ch ®éc	½¿Ğ¡Å®Í·²¿015	§· khãa		5	1	1	26	0					
B¨ng T©m S­¬ng Hoa Qu¸n	0	103	32360	35	40000	0	175	16;16					300101	50	2	3		\image\item\cap\fm1_cap_014a1.spr	\image\item\cap\fm1_cap_014a0.spr	TÈm chÊt kŞch ®éc, c¸c s¸t thñ ­a dïng	ĞÔ¸ĞÅ®Í·²¿024	§· khãa		5	1	1	29	0					
B¨ng T©m S­¬ng Hoa Qu¸n	0	103	32361	35	40000	0	175	16;16					300102	50	2	4		\image\item\cap\fm2_cap_014a1.spr	\image\item\cap\fm2_cap_014a0.spr	Lµm tõ san h«, trŞ ®­îc b¸ch ®éc	½¿Ğ¡Å®Í·²¿015	§· khãa		5	1	1	29	0					
ThiÖn A¶nh L­u Ly Qu¸n	0	103	32362	35	40000	0	175	16;16					300103	50	2	3		\image\item\cap\fm1_cap_014a1.spr	\image\item\cap\fm1_cap_014a0.spr	TÈm chÊt kŞch ®éc, c¸c s¸t thñ ­a dïng	ĞÔ¸ĞÅ®Í·²¿024	§· khãa		5	1	1	30	0					
ThiÖn A¶nh L­u Ly Qu¸n	0	103	32363	35	40000	0	175	16;16					300104	50	2	4		\image\item\cap\fm2_cap_014a1.spr	\image\item\cap\fm2_cap_014a0.spr	Lµm tõ san h«, trŞ ®­îc b¸ch ®éc	½¿Ğ¡Å®Í·²¿015	§· khãa		5	1	1	30	0					
Phong Khëi ChÊp Thiªn Qu¸n	0	103	32364	35	40000	0	175	16;16					300105	50	1	1		\image\item\cap\man1_cap_014a1.spr	\image\item\cap\man1_cap_014a0.spr	NhÑ nh­ c¸nh chuån chuån. Mµu ®á khiÕn ®èi ph­¬ng ho¶ng sî	±ê×¼ÄĞÍ·²¿011	§· khãa		5	1	1	32	0					
Phong Khëi ChÊp Thiªn Qu¸n	0	103	32365	35	40000	0	175	16;16					300106	50	1	2		\image\item\cap\man2_cap_014a1.spr	\image\item\cap\man2_cap_014a0.spr	Hót ®­îc yªu ma linh lùc, khiÕn ®èi ph­¬ng võa nh×n thÊy ®· khiÕp sî	¿ıÎàÄĞÍ·²¿017	§· khãa		5	1	1	32	0					
L«i §éng TuÇn Thiªn Qu¸n	0	103	32366	35	40000	0	175	16;16					300107	50	1	1		\image\item\cap\man1_cap_014a1.spr	\image\item\cap\man1_cap_014a0.spr	NhÑ nh­ c¸nh chuån chuån. Mµu ®á khiÕn ®èi ph­¬ng ho¶ng sî	±ê×¼ÄĞÍ·²¿011	§· khãa		5	1	1	23	0					
L«i §éng TuÇn Thiªn Qu¸n	0	103	32367	35	40000	0	175	16;16					300108	50	1	2		\image\item\cap\man2_cap_014a1.spr	\image\item\cap\man2_cap_014a0.spr	Hót ®­îc yªu ma linh lùc, khiÕn ®èi ph­¬ng võa nh×n thÊy ®· khiÕp sî	¿ıÎàÄĞÍ·²¿017	§· khãa		5	1	1	23	0					
L¨ng Hoa Qu¸n	0	103	32368	35	40000	0	175	16;16					300109	50	1	1		\image\item\cap\man1_cap_014a1.spr	\image\item\cap\man1_cap_014a0.spr	NhÑ nh­ c¸nh chuån chuån. Mµu ®á khiÕn ®èi ph­¬ng ho¶ng sî	±ê×¼ÄĞÍ·²¿011	§· khãa		5	1	1	31	0					
L¨ng Hoa Qu¸n	0	103	32369	35	40000	0	175	16;16					300110	50	1	2		\image\item\cap\man2_cap_014a1.spr	\image\item\cap\man2_cap_014a0.spr	Hót ®­îc yªu ma linh lùc, khiÕn ®èi ph­¬ng võa nh×n thÊy ®· khiÕp sî	¿ıÎàÄĞÍ·²¿017	§· khãa		5	1	1	31	0					
L¨ng Hoa Qu¸n	0	103	32370	35	40000	0	175	16;16					300111	50	2	3		\image\item\cap\fm1_cap_014a1.spr	\image\item\cap\fm1_cap_014a0.spr	TÈm chÊt kŞch ®éc, c¸c s¸t thñ ­a dïng	ĞÔ¸ĞÅ®Í·²¿024	§· khãa		5	1	1	31	0					
L¨ng Hoa Qu¸n	0	103	32371	35	40000	0	175	16;16					300112	50	2	4		\image\item\cap\fm2_cap_014a1.spr	\image\item\cap\fm2_cap_014a0.spr	Lµm tõ san h«, trŞ ®­îc b¸ch ®éc	½¿Ğ¡Å®Í·²¿015	§· khãa		5	1	1	31	0					
ChiÕn Khİ S¸t ThÇn Kh«i	0	103	32372	30	40000	0	200	40;40					300113	1090	1	1		\image\item\cloth\·Éºè²ĞÏ¼Í·±ê×¼a1.spr	\image\item\cloth\·Éºè²ĞÏ¼Í·±ê×¼a0.spr	Léng lÉy tùa ¸nh sao, søc m¹nh v« song, ®i m©y c­ìi giã tùa th¸nh thÇn.	±ê×¼ÄĞ·Éºè²ĞÏ¼Í·	§· khãa		10;10	1	1		0		7	123	86	9
ChiÕn Khİ S¸t ThÇn Kh«i	0	103	32373	30	40000	0	200	40;40					300114	1090	1	2		\image\item\cloth\·Éºè²ĞÏ¼Í·¿ıÎàa1.spr	\image\item\cloth\·Éºè²ĞÏ¼Í·¿ıÎàa0.spr	Léng lÉy tùa ¸nh sao, søc m¹nh v« song, ®i m©y c­ìi giã tùa th¸nh thÇn.	¿ıÎàÄĞ·Éºè²ĞÏ¼Í·	§· khãa		10;10	1	1		0		7	123	86	9
ChiÕn Khİ S¸t ThÇn Kh«i	0	103	32374	30	40000	0	200	40;40					300115	1090	2	3		\image\item\cloth\·Éºè²ĞÏ¼Í·ĞÔ¸Ğa1.spr	\image\item\cloth\·Éºè²ĞÏ¼Í·ĞÔ¸Ğa0.spr	Léng lÉy tùa ¸nh sao, søc m¹nh v« song, ®i m©y c­ìi giã tùa th¸nh thÇn.	ĞÔ¸ĞÅ®·Éºè²ĞÏ¼Í·	§· khãa		10;10	1	1		0		7	123	86	9
ChiÕn Khİ S¸t ThÇn Kh«i	0	103	32375	30	40000	0	200	40;40					300116	1090	2	4		\image\item\cloth\·Éºè²ĞÏ¼Í·½¿Ğ¡a1.spr	\image\item\cloth\·Éºè²ĞÏ¼Í·½¿Ğ¡a0.spr	Léng lÉy tùa ¸nh sao, søc m¹nh v« song, ®i m©y c­ìi giã tùa th¸nh thÇn.	½¿Ğ¡Å®·Éºè²ĞÏ¼Í·	§· khãa		10;10	1	1		0		7	123	86	9
Th¸i Minh Qu¸n	0	108	1209	10	0	0	360							1	1	1		\image\item\cloth\²Êì·Ã÷«šÍ·±ê×¼a1.spr	\image\item\cloth\²Êì·Ã÷«šÍ·±ê×¼a0.spr	S¾c xu©n huy hoµng, chiÕu räi kh¾p n¬i. Cê bay trªn cao, xanh nh­ ngäc béi.	±ê×¼ÄĞ²Êì·Ã÷«šÍ·	Ngo¹i trang		1	2	1		1	999				
Th¸i Minh Qu¸n	0	108	1210	10	0	0	360							1	1	2		\image\item\cloth\²Êì·Ã÷«šÍ·¿ıÎàa1.spr	\image\item\cloth\²Êì·Ã÷«šÍ·¿ıÎàa0.spr	S¾c xu©n huy hoµng, chiÕu räi kh¾p n¬i. Cê bay trªn cao, xanh nh­ ngäc béi.	¿ıÎàÄĞ²Êì·Ã÷«šÍ·	Ngo¹i trang		1	2	1		1	999				
Th¸i Minh Tr©m	0	108	1211	10	0	0	360							1	2	3		\image\item\cloth\²Êì·Ã÷«šÍ·ĞÔ¸Ğa1.spr	\image\item\cloth\²Êì·Ã÷«šÍ·ĞÔ¸Ğa0.spr	S¾c xu©n huy hoµng, chiÕu räi kh¾p n¬i. Cê bay trªn cao, xanh nh­ ngäc béi.	ĞÔ¸ĞÅ®²Êì·Ã÷«šÍ·	Ngo¹i trang		1	2	1		1	999				
Th¸i Minh Tr©m	0	108	1212	10	0	0	360							1	2	4		\image\item\cloth\²Êì·Ã÷«šÍ·½¿Ğ¡a1.spr	\image\item\cloth\²Êì·Ã÷«šÍ·½¿Ğ¡a0.spr	S¾c xu©n huy hoµng, chiÕu räi kh¾p n¬i. Cê bay trªn cao, xanh nh­ ngäc béi.	½¿Ğ¡Å®²Êì·Ã÷«šÍ·	Ngo¹i trang		1	2	1		1	999				
Phi H­¬ng Qu¸n	0	108	1213	10	0	0	360							1	1	1		\image\item\cloth\·ÉÏã¶³²İÍ·±ê×¼a1.spr	\image\item\cloth\·ÉÏã¶³²İÍ·±ê×¼a0.spr	TuyÕt gi¨ng hoµng h«n bu«ng, h­¬ng th¬m bªn cá mÒm.	±ê×¼ÄĞ·ÉÏã¶³²İÍ·	Ngo¹i trang		1	2	1		1	999				
Phi H­¬ng Qu¸n	0	108	1214	10	0	0	360							1	1	2		\image\item\cloth\·ÉÏã¶³²İÍ·¿ıÎàa1.spr	\image\item\cloth\·ÉÏã¶³²İÍ·¿ıÎàa0.spr	TuyÕt gi¨ng hoµng h«n bu«ng, h­¬ng th¬m bªn cá mÒm.	¿ıÎàÄĞ·ÉÏã¶³²İÍ·	Ngo¹i trang		1	2	1		1	999				
Phi H­¬ng Tr©m	0	108	1215	10	0	0	360							1	2	3		\image\item\cloth\·ÉÏã¶³²İÍ·ĞÔ¸Ğa1.spr	\image\item\cloth\·ÉÏã¶³²İÍ·ĞÔ¸Ğa0.spr	TuyÕt gi¨ng hoµng h«n bu«ng, h­¬ng th¬m bªn cá mÒm.	ĞÔ¸ĞÅ®·ÉÏã¶³²İÍ·	Ngo¹i trang		1	2	1		1	999				
Phi H­¬ng Tr©m	0	108	1216	10	0	0	360							1	2	4		\image\item\cloth\·ÉÏã¶³²İÍ·½¿Ğ¡a1.spr	\image\item\cloth\·ÉÏã¶³²İÍ·½¿Ğ¡a0.spr	TuyÕt gi¨ng hoµng h«n bu«ng, h­¬ng th¬m bªn cá mÒm.	½¿Ğ¡Å®·ÉÏã¶³²İÍ·	Ngo¹i trang		1	2	1		1	999				
L¨ng Ba Qu¸n	0	108	1217	10	0	0	360							1	1	1		\image\item\cloth\Áè²¨´äĞäÍ·±ê×¼a1.spr	\image\item\cloth\Áè²¨´äĞäÍ·±ê×¼a0.spr	Ng«i miÕu nhá nhang khãi nghi ngót, bªn trong biÓn ng­êi nh­ trÈy héi.	±ê×¼ÄĞÁè²¨´äĞäÍ·	Ngo¹i trang		1	2	1		1	999				
L¨ng Ba Qu¸n	0	108	1218	10	0	0	360							1	1	2		\image\item\cloth\Áè²¨´äĞäÍ·¿ıÎàa1.spr	\image\item\cloth\Áè²¨´äĞäÍ·¿ıÎàa0.spr	Ng«i miÕu nhá nhang khãi nghi ngót, bªn trong biÓn ng­êi nh­ trÈy héi.	¿ıÎàÄĞÁè²¨´äĞäÍ·	Ngo¹i trang		1	2	1		1	999				
L¨ng Ba Tr©m	0	108	1219	10	0	0	360							1	2	3		\image\item\cloth\Áè²¨´äĞäÍ·ĞÔ¸Ğa1.spr	\image\item\cloth\Áè²¨´äĞäÍ·ĞÔ¸Ğa0.spr	Ng«i miÕu nhá nhang khãi nghi ngót, bªn trong biÓn ng­êi nh­ trÈy héi.	ĞÔ¸ĞÅ®Áè²¨´äĞäÍ·	Ngo¹i trang		1	2	1		1	999				
L¨ng Ba Tr©m	0	108	1220	10	0	0	360							1	2	4		\image\item\cloth\Áè²¨´äĞäÍ·½¿Ğ¡a1.spr	\image\item\cloth\Áè²¨´äĞäÍ·½¿Ğ¡a0.spr	Ng«i miÕu nhá nhang khãi nghi ngót, bªn trong biÓn ng­êi nh­ trÈy héi.	½¿Ğ¡Å®Áè²¨´äĞäÍ·	Ngo¹i trang		1	2	1		1	999				
Chóc Minh Qu¸n	0	108	1221	10	0	0	360							1	1	1		\image\item\cloth\ÖòÃ÷ÇåËªÍ·±ê×¼a1.spr	\image\item\cloth\ÖòÃ÷ÇåËªÍ·±ê×¼a0.spr	C¨n phßng phñ buån gi÷a ®ªm khuya, tuæi giµ khã tho¸t nçi qu¹nh hiu.	±ê×¼ÄĞÖòÃ÷ÇåËªÍ·	Ngo¹i trang		1	2	1		1	999				
Chóc Minh Qu¸n	0	108	1222	10	0	0	360							1	1	2		\image\item\cloth\ÖòÃ÷ÇåËªÍ·¿ıÎàa1.spr	\image\item\cloth\ÖòÃ÷ÇåËªÍ·¿ıÎàa0.spr	C¨n phßng phñ buån gi÷a ®ªm khuya, tuæi giµ khã tho¸t nçi qu¹nh hiu.	¿ıÎàÄĞÖòÃ÷ÇåËªÍ·	Ngo¹i trang		1	2	1		1	999				
Chóc Minh Tr©m	0	108	1223	10	0	0	360							1	2	3		\image\item\cloth\ÖòÃ÷ÇåËªÍ·ĞÔ¸Ğa1.spr	\image\item\cloth\ÖòÃ÷ÇåËªÍ·ĞÔ¸Ğa0.spr	C¨n phßng phñ buån gi÷a ®ªm khuya, tuæi giµ khã tho¸t nçi qu¹nh hiu.	ĞÔ¸ĞÅ®ÖòÃ÷ÇåËªÍ·	Ngo¹i trang		1	2	1		1	999				
Chóc Minh Tr©m	0	108	1224	10	0	0	360							1	2	4		\image\item\cloth\ÖòÃ÷ÇåËªÍ·½¿Ğ¡a1.spr	\image\item\cloth\ÖòÃ÷ÇåËªÍ·½¿Ğ¡a0.spr	C¨n phßng phñ buån gi÷a ®ªm khuya, tuæi giµ khã tho¸t nçi qu¹nh hiu.	½¿Ğ¡Å®ÖòÃ÷ÇåËªÍ·	Ngo¹i trang		1	2	1		1	999				
Xu©n S¬n Qu¸n	0	108	1225	10	0	0	360							1	1	1		\image\item\cloth\´ºÉ½À¿ÔÂÍ·±ê×¼a1.spr	\image\item\cloth\´ºÉ½À¿ÔÂÍ·±ê×¼a0.spr	S¾c xu©n lµm lßng ta khã quªn, tr¨ng d­íi n­íc h­¬ng hoa ngÊt ng©y.	±ê×¼ÄĞ´ºÉ½À¿ÔÂÍ·	Ngo¹i trang		1	2	1		1	999				
Xu©n S¬n Qu¸n	0	108	1226	10	0	0	360							1	1	2		\image\item\cloth\´ºÉ½À¿ÔÂÍ·¿ıÎàa1.spr	\image\item\cloth\´ºÉ½À¿ÔÂÍ·¿ıÎàa0.spr	S¾c xu©n lµm lßng ta khã quªn, tr¨ng d­íi n­íc h­¬ng hoa ngÊt ng©y.	¿ıÎàÄĞ´ºÉ½À¿ÔÂÍ·	Ngo¹i trang		1	2	1		1	999				
Xu©n S¬n Tr©m	0	108	1227	10	0	0	360							1	2	3		\image\item\cloth\´ºÉ½À¿ÔÂÍ·ĞÔ¸Ğa1.spr	\image\item\cloth\´ºÉ½À¿ÔÂÍ·ĞÔ¸Ğa0.spr	S¾c xu©n lµm lßng ta khã quªn, tr¨ng d­íi n­íc h­¬ng hoa ngÊt ng©y.	ĞÔ¸ĞÅ®´ºÉ½À¿ÔÂÍ·	Ngo¹i trang		1	2	1		1	999				
Xu©n S¬n Tr©m	0	108	1228	10	0	0	360							1	2	4		\image\item\cloth\´ºÉ½À¿ÔÂÍ·½¿Ğ¡a1.spr	\image\item\cloth\´ºÉ½À¿ÔÂÍ·½¿Ğ¡a0.spr	S¾c xu©n lµm lßng ta khã quªn, tr¨ng d­íi n­íc h­¬ng hoa ngÊt ng©y.	½¿Ğ¡Å®´ºÉ½À¿ÔÂÍ·	Ngo¹i trang		1	2	1		1	999				
Thanh L­u Qu¸n	0	108	1229	10	0	0	360							1	1	1		\image\item\cloth\Çà·ãÁ÷ËªÍ·±ê×¼a1.spr	\image\item\cloth\Çà·ãÁ÷ËªÍ·±ê×¼a0.spr	S«ng dµi uèn l­în ®ång cá xanh, tr¨ng phñ s­¬ng mê gi÷a rõng hoa.	±ê×¼ÄĞÇà·ãÁ÷ËªÍ·	Ngo¹i trang		1	2	1		1	999				
Thanh L­u Qu¸n	0	108	1230	10	0	0	360							1	1	2		\image\item\cloth\Çà·ãÁ÷ËªÍ·¿ıÎàa1.spr	\image\item\cloth\Çà·ãÁ÷ËªÍ·¿ıÎàa0.spr	S«ng dµi uèn l­în ®ång cá xanh, tr¨ng phñ s­¬ng mê gi÷a rõng hoa.	¿ıÎàÄĞÇà·ãÁ÷ËªÍ·	Ngo¹i trang		1	2	1		1	999				
Thanh L­u Tr©m	0	108	1231	10	0	0	360							1	2	3		\image\item\cloth\Çà·ãÁ÷ËªÍ·ĞÔ¸Ğa1.spr	\image\item\cloth\Çà·ãÁ÷ËªÍ·ĞÔ¸Ğa0.spr	S«ng dµi uèn l­în ®ång cá xanh, tr¨ng phñ s­¬ng mê gi÷a rõng hoa.	ĞÔ¸ĞÅ®Çà·ãÁ÷ËªÍ·	Ngo¹i trang		1	2	1		1	999				
Thanh L­u Tr©m	0	108	1232	10	0	0	360							1	2	4		\image\item\cloth\Çà·ãÁ÷ËªÍ·½¿Ğ¡a1.spr	\image\item\cloth\Çà·ãÁ÷ËªÍ·½¿Ğ¡a0.spr	S«ng dµi uèn l­în ®ång cá xanh, tr¨ng phñ s­¬ng mê gi÷a rõng hoa.	½¿Ğ¡Å®Çà·ãÁ÷ËªÍ·	Ngo¹i trang		1	2	1		1	999				
Thanh Hßa Qu¸n	0	108	1233	10	0	0	360							1	1	1		\image\item\cloth\ÇåºÍ³¿ÄºÍ·±ê×¼a1.spr	\image\item\cloth\ÇåºÍ³¿ÄºÍ·±ê×¼a0.spr	Mïa hÌ Êm ¸p, cá mäc xanh um. Tµu thuyÒn nèi ®u«i, ch¼ng râ ngµy ®ªm.	±ê×¼ÄĞÇåºÍ³¿ÄºÍ·	Ngo¹i trang		1	2	1		1	999				
Thanh Hßa Qu¸n	0	108	1234	10	0	0	360							1	1	2		\image\item\cloth\ÇåºÍ³¿ÄºÍ·¿ıÎàa1.spr	\image\item\cloth\ÇåºÍ³¿ÄºÍ·¿ıÎàa0.spr	Mïa hÌ Êm ¸p, cá mäc xanh um. Tµu thuyÒn nèi ®u«i, ch¼ng râ ngµy ®ªm.	¿ıÎàÄĞÇåºÍ³¿ÄºÍ·	Ngo¹i trang		1	2	1		1	999				
Thanh Hßa Tr©m	0	108	1235	10	0	0	360							1	2	3		\image\item\cloth\ÇåºÍ³¿ÄºÍ·ĞÔ¸Ğa1.spr	\image\item\cloth\ÇåºÍ³¿ÄºÍ·ĞÔ¸Ğa0.spr	Mïa hÌ Êm ¸p, cá mäc xanh um. Tµu thuyÒn nèi ®u«i, ch¼ng râ ngµy ®ªm.	ĞÔ¸ĞÅ®ÇåºÍ³¿ÄºÍ·	Ngo¹i trang		1	2	1		1	999				
Thanh Hßa Tr©m	0	108	1236	10	0	0	360							1	2	4		\image\item\cloth\ÇåºÍ³¿ÄºÍ·½¿Ğ¡a1.spr	\image\item\cloth\ÇåºÍ³¿ÄºÍ·½¿Ğ¡a0.spr	Mïa hÌ Êm ¸p, cá mäc xanh um. Tµu thuyÒn nèi ®u«i, ch¼ng râ ngµy ®ªm.	½¿Ğ¡Å®ÇåºÍ³¿ÄºÍ·	Ngo¹i trang		1	2	1		1	999				
L­u Oanh Qu¸n	0	108	1237	10	0	0	360							1	1	1		\image\item\cloth\ÏÄÒâÁ÷İºÍ·±ê×¼a1.spr	\image\item\cloth\ÏÄÒâÁ÷İºÍ·±ê×¼a0.spr	Bãng r©m táa m¸t d­íi n¾ng tr­a, tØnh giÊc nghe chim oanh hãt vang.	±ê×¼ÄĞÏÄÒâÁ÷İºÍ·	Ngo¹i trang		1	2	1		1	999				
L­u Oanh Qu¸n	0	108	1238	10	0	0	360							1	1	2		\image\item\cloth\ÏÄÒâÁ÷İºÍ·¿ıÎàa1.spr	\image\item\cloth\ÏÄÒâÁ÷İºÍ·¿ıÎàa0.spr	Bãng r©m táa m¸t d­íi n¾ng tr­a, tØnh giÊc nghe chim oanh hãt vang.	¿ıÎàÄĞÏÄÒâÁ÷İºÍ·	Ngo¹i trang		1	2	1		1	999				
L­u Oanh Tr©m	0	108	1239	10	0	0	360							1	2	3		\image\item\cloth\ÏÄÒâÁ÷İºÍ·ĞÔ¸Ğa1.spr	\image\item\cloth\ÏÄÒâÁ÷İºÍ·ĞÔ¸Ğa0.spr	Bãng r©m táa m¸t d­íi n¾ng tr­a, tØnh giÊc nghe chim oanh hãt vang.	ĞÔ¸ĞÅ®ÏÄÒâÁ÷İºÍ·	Ngo¹i trang		1	2	1		1	999				
L­u Oanh Tr©m	0	108	1240	10	0	0	360							1	2	4		\image\item\cloth\ÏÄÒâÁ÷İºÍ·½¿Ğ¡a1.spr	\image\item\cloth\ÏÄÒâÁ÷İºÍ·½¿Ğ¡a0.spr	Bãng r©m táa m¸t d­íi n¾ng tr­a, tØnh giÊc nghe chim oanh hãt vang.	½¿Ğ¡Å®ÏÄÒâÁ÷İºÍ·	Ngo¹i trang		1	2	1		1	999				
Phong L­u Qu¸n	0	108	1241	10	0	0	360							1	1	1		\image\item\cloth\·çÇåÊèÁ±Í·±ê×¼a1.spr	\image\item\cloth\·çÇåÊèÁ±Í·±ê×¼a0.spr	HÌ vÒ bªn hiªn nhµ giã m¸t, chim Ğn vµ b­ím cïng n« ®ïa.	±ê×¼ÄĞ·çÇåÊèÁ±Í·	Ngo¹i trang		1	2	1		1	999				
Phong L­u Qu¸n	0	108	1242	10	0	0	360							1	1	2		\image\item\cloth\·çÇåÊèÁ±Í·¿ıÎàa1.spr	\image\item\cloth\·çÇåÊèÁ±Í·¿ıÎàa0.spr	HÌ vÒ bªn hiªn nhµ giã m¸t, chim Ğn vµ b­ím cïng n« ®ïa.	¿ıÎàÄĞ·çÇåÊèÁ±Í·	Ngo¹i trang		1	2	1		1	999				
Phong L­u Tr©m	0	108	1243	10	0	0	360							1	2	3		\image\item\cloth\·çÇåÊèÁ±Í·ĞÔ¸Ğa1.spr	\image\item\cloth\·çÇåÊèÁ±Í·ĞÔ¸Ğa0.spr	HÌ vÒ bªn hiªn nhµ giã m¸t, chim Ğn vµ b­ím cïng n« ®ïa.	ĞÔ¸ĞÅ®·çÇåÊèÁ±Í·	Ngo¹i trang		1	2	1		1	999				
Phong L­u Tr©m	0	108	1244	10	0	0	360							1	2	4		\image\item\cloth\·çÇåÊèÁ±Í·½¿Ğ¡a1.spr	\image\item\cloth\·çÇåÊèÁ±Í·½¿Ğ¡a0.spr	HÌ vÒ bªn hiªn nhµ giã m¸t, chim Ğn vµ b­ím cïng n« ®ïa.	½¿Ğ¡Å®·çÇåÊèÁ±Í·	Ngo¹i trang		1	2	1		1	999				
Thóy Mé Qu¸n	0	108	1245	10	0	0	360							1	1	1		\image\item\cloth\²Ô´äÄº²õÍ·±ê×¼a1.spr	\image\item\cloth\²Ô´äÄº²õÍ·±ê×¼a0.spr	Nói b¨ng chuyÓn s¾c xanh, ngµy thu n­íc trong lµnh. CÇm gËy ra thÒm cöa, giã vang tiÕng ve sÇu.	±ê×¼ÄĞ²Ô´äÄº²õÍ·	Ngo¹i trang		1	2	1		1	999				
Thóy Mé Qu¸n	0	108	1246	10	0	0	360							1	1	2		\image\item\cloth\²Ô´äÄº²õÍ·¿ıÎàa1.spr	\image\item\cloth\²Ô´äÄº²õÍ·¿ıÎàa0.spr	Nói b¨ng chuyÓn s¾c xanh, ngµy thu n­íc trong lµnh. CÇm gËy ra thÒm cöa, giã vang tiÕng ve sÇu.	¿ıÎàÄĞ²Ô´äÄº²õÍ·	Ngo¹i trang		1	2	1		1	999				
Thóy Mé Tr©m	0	108	1247	10	0	0	360							1	2	3		\image\item\cloth\²Ô´äÄº²õÍ·ĞÔ¸Ğa1.spr	\image\item\cloth\²Ô´äÄº²õÍ·ĞÔ¸Ğa0.spr	Nói b¨ng chuyÓn s¾c xanh, ngµy thu n­íc trong lµnh. CÇm gËy ra thÒm cöa, giã vang tiÕng ve sÇu.	ĞÔ¸ĞÅ®²Ô´äÄº²õÍ·	Ngo¹i trang		1	2	1		1	999				
Thóy Mé Tr©m	0	108	1248	10	0	0	360							1	2	4		\image\item\cloth\²Ô´äÄº²õÍ·½¿Ğ¡a1.spr	\image\item\cloth\²Ô´äÄº²õÍ·½¿Ğ¡a0.spr	Nói b¨ng chuyÓn s¾c xanh, ngµy thu n­íc trong lµnh. CÇm gËy ra thÒm cöa, giã vang tiÕng ve sÇu.	½¿Ğ¡Å®²Ô´äÄº²õÍ·	Ngo¹i trang		1	2	1		1	999				
Thanh Lé Qu¸n	0	108	1249	10	0	0	360							1	1	1		\image\item\cloth\ÇàÂ¶Í¡²İÍ·±ê×¼a1.spr	\image\item\cloth\ÇàÂ¶Í¡²İÍ·±ê×¼a0.spr	N­íc gét röa l¸ sen xanh mµu, h¶i ©u o¸n tr¸ch ng­êi trë vÒ.	±ê×¼ÄĞÇàÂ¶Í¡²İÍ·	Ngo¹i trang		1	2	1		1	999				
